max_len is 300
Real episode: ep_ret: 330.0612488128694, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 233.40936987056418, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 171.97960368193438, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 197.078029814771, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 236.52117607046006, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 269.77847660545905, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 281.84654063253055, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 248.69229268501243, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 281.54564340650944, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 401.39063177776086, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 311.8171994098688, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 324.74675442841567, ep_cost: 10, ep_len: 300
Simulated episode: ep_ret: 250.35656044970577, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 206.83719660656064, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 198.20366814744574, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 340.983230190324, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 244.11363939494336, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 195.60213181478827, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -840.6498470242082, ep_cost: 109, ep_len: 300
Simulated episode: ep_ret: 257.4458861220298, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 379.8007595923615, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 292.04436180663856, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 184.4193382814166, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 182.5795866331144, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 230.0364803969154, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 248.17040099632138, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 251.99316639314637, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 251.78151098561185, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 272.6105283096866, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 191.60441914506455, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 457.23826154925143, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 246.36681381963396, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 248.94879411279788, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 173.89485149147924, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 280.85761611347334, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 388.14505051355206, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 264.9126183024745, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 262.49278845847044, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 177.88204422834437, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 256.83153379652646, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 249.2112903942666, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 205.58100215017103, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 413.5955746709987, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 221.93928148806458, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 323.63125934728, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 177.66405886021474, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 182.4937067443659, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 236.59581284225948, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 255.62993221336862, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 321.720203792428, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 314.38475558405395, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 348.62573727678216, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 344.1869463704535, ep_cost: 9, ep_len: 300
Simulated episode: ep_ret: 213.53522718327628, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 265.2905785039218, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 229.6046696890125, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 309.2168815375927, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 331.3033182051552, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 251.22131337408152, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 283.3620045634926, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 264.64649457869103, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 218.85712676734073, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 257.7375461305008, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 218.86030809705775, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 242.10010240482634, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 235.1525227600226, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 288.5646413769782, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 268.9210020960049, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 237.92989001715648, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 308.0879110638059, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 177.03871221761722, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 121.28975028494871, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 215.8921557816231, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 251.33304433183315, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 213.87382131585878, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 251.49681895068872, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 395.671285540146, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 276.97255451025313, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 202.76934755348992, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 261.7716681251614, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 185.74313601873294, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 331.1790065008314, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 367.6733643656719, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 204.78675435663408, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 179.8707091907413, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 244.79404864596034, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 258.8327642335307, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 274.6065775294528, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 291.81199996979024, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 352.0745542152521, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 299.13424273437494, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 161.4178587662338, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -1229.8587982609126, ep_cost: 140, ep_len: 300
Simulated episode: ep_ret: 285.97404941218906, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 303.43532378616345, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 329.24456351199314, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -1451.6296712728144, ep_cost: 155, ep_len: 300
Simulated episode: ep_ret: 192.81179745106695, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 181.50062543243078, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 200.78591217203396, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 162.25654771163653, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 282.44230821310146, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 335.5628762665134, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 253.84098518845286, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 297.1779698898163, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 339.75568017509676, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 208.09304786721268, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 270.50133817866407, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 184.46611780609274, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 243.04276493899116, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -478.43693654356804, ep_cost: 79, ep_len: 300
Simulated episode: ep_ret: 298.35050736920107, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 325.31252913826035, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 175.16904937996392, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 135.073746316345, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 262.60805475193337, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 192.42986673363865, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 203.3173306920631, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 130.0006964308801, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 238.7059407307011, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 163.56405874884, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 295.5170443475085, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -19.556635410850568, ep_cost: 39, ep_len: 300
Simulated episode: ep_ret: 270.98699789896267, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 280.7944314358466, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 168.65412626346065, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 370.9451595776791, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 262.3447410418643, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 173.5310467401724, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 200.79340386177373, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 251.07803601720815, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 180.48834747181584, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 260.54285127373964, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 287.4583196174651, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 214.9982944465317, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 235.86366925694645, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 288.1075814916178, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 217.1612510488187, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 151.9598156680038, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 171.05439086142357, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 113.80112788877683, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 177.70430207688364, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 234.9275527264952, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 227.69256532224495, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 211.86239827369482, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 215.96112223756873, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 212.0325682173626, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 294.8981416692426, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 252.90202182563613, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 224.98355883309566, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 171.5420664190916, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 128.11186799355258, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 174.86510680267688, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 246.4257975850696, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 252.87218553468807, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 204.49011989367534, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 322.72481055478164, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 195.62195973273614, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 219.03890865768912, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 259.8571204783192, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 164.63004846576698, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 191.51291346467306, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 220.117575520178, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 235.0011089578224, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 248.55966354961444, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 186.94330339809673, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 158.61013949609514, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 197.7185379970659, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 182.64310874640995, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 193.59710475124456, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 183.74454906773298, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 175.71192260328604, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 259.05070691542227, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 215.68379042640925, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 234.1131376738166, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 175.5316260269641, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 213.5629458177581, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 168.13930482133952, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 116.25446955479278, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 188.03111901515777, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 200.28574958603002, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 207.5430615161861, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 237.99668913416969, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 311.35881582726364, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 250.92132079325506, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 235.19584921999476, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 148.3098964787164, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 224.7660203957632, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 229.73584972150496, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 179.9125307075615, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 342.1541471612093, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 148.66689288092047, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 228.86273629828733, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 150.53624472440214, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 192.98644169444398, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 148.17018285154782, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 206.81074605021692, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 205.02648506835175, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 208.1990612020928, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 199.09157715080335, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 315.45659068824705, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 195.50057784143783, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 327.7251536364051, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 193.91674652147134, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 209.16761107602443, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 166.64056613265615, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 186.6314289797918, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 187.91260605857116, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 174.83274619313707, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 211.0497791492928, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 139.45436805098308, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -741.6977700306361, ep_cost: 96, ep_len: 300
Real episode: ep_ret: 320.07435668722917, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -545.0647886928274, ep_cost: 79, ep_len: 300
Real episode: ep_ret: 376.31304129174924, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 302.87858653673095, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 393.8737217492574, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 279.6032460550534, ep_cost: 11, ep_len: 300
Real episode: ep_ret: -216.87180740811257, ep_cost: 51, ep_len: 300
Real episode: ep_ret: -1127.0004367131744, ep_cost: 127, ep_len: 300
Real episode: ep_ret: -1038.871750722926, ep_cost: 118, ep_len: 300
Real episode: ep_ret: 357.9729346407687, ep_cost: 4, ep_len: 300
Real episode: ep_ret: 198.78089002824828, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 411.0159261541513, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 101.99108216167647, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 319.64138241121265, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 407.60859165472505, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 109.72148849486645, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 240.5143810504483, ep_cost: 12, ep_len: 300
Real episode: ep_ret: 261.4098235278588, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -1745.950020025003, ep_cost: 173, ep_len: 300
Real episode: ep_ret: 216.23120092306016, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 115.41261441683616, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -514.3824646236128, ep_cost: 78, ep_len: 300
Real episode: ep_ret: -588.1109500679327, ep_cost: 84, ep_len: 300
Real episode: ep_ret: -1046.2607287869434, ep_cost: 120, ep_len: 300
Real episode: ep_ret: 265.2633932370434, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -245.8090737862167, ep_cost: 55, ep_len: 300
Real episode: ep_ret: 386.9476355947396, ep_cost: 3, ep_len: 300
Real episode: ep_ret: 72.95360831922639, ep_cost: 29, ep_len: 300
Real episode: ep_ret: 366.32593374075935, ep_cost: 0, ep_len: 300
Real episode: ep_ret: 299.04022143349704, ep_cost: 0, ep_len: 300
Real episode: ep_ret: -983.0828290605912, ep_cost: 117, ep_len: 300
Real episode: ep_ret: 385.96052712540956, ep_cost: 0, ep_len: 300
