max_len is 300
Real episode: ep_ret: 135.73598606938612, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 262.909683918604, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 185.85747954225832, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 56.32584570153283, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -59.430211911366015, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 434.6309480319254, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 266.2872532613749, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -36.75023268016506, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 196.1050184325094, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 73.9402425780213, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 236.56462590471043, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 250.97174725062905, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 216.68554346918788, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 205.01185994360813, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 189.54658380324264, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 195.69963751271445, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 141.96698334948172, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 187.68022616027736, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 244.81370799725283, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 235.64463860193683, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -104.39106377276569, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -313.2153126471913, ep_cost: 65, ep_len: 300
Simulated episode: ep_ret: 111.74787275583283, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 295.2614446988773, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 218.8325742576112, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 7.066795146542452, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 286.05959991204963, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 212.452486152456, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 214.20185866894582, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 68.29357936571137, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 161.07939560465914, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -33.785482502699296, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 75.13861600162252, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 345.53860694493216, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 334.2726713754466, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 161.04013401856645, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 157.4391718533401, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 35.26099031653248, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 49.27177934587757, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 363.66027868718504, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 53.37997947601814, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 145.37973419182677, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 252.2347885169493, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 98.89175809290003, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 298.1512039670113, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 323.9986060029724, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 363.48334843179117, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 68.01941009154275, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 171.741390248585, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 100.71825491907843, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 34.39285557635973, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 270.1524288163572, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 104.58411051428115, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -15.35849866174527, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 141.11248290338415, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 86.53613917150307, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 428.4817074407663, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 228.09277988140715, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 317.27223597387956, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 182.2650294731763, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -2.367381654493667, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 83.06286139022455, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 260.0673561322232, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 203.08507336918407, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 405.0531787724329, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 197.23600832140755, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 286.38798508513304, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 159.98393520932885, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 118.96094453921845, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 135.60279029728295, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 168.64596385228842, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 305.69652305072873, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 149.16750769314382, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 247.11016182072592, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 242.33839932339828, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -31.868988991965338, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -149.8554528458748, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 51.19580924874769, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 324.3348318221216, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 350.9508679693988, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 275.2524995452746, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 298.6473804864305, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 245.47714346331512, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 339.18116997666027, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 127.82252117059014, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 263.7886648668165, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 248.30995443756473, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 57.572161718337824, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 385.84425836527174, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 2.2960135142845504, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 47.05984086795541, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 173.7884270204474, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 258.5414499604611, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 250.17674554765728, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 225.59926294074282, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 373.7176656305751, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 16.02265582350387, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 132.17929601636504, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 136.98042840070488, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 15.444349351505789, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 166.36201809757563, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 258.9218628022494, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 266.96219734973903, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 155.68837485062676, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 344.535090911934, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 142.03684762720874, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 336.3861658296048, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 75.50660512692771, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 148.21001388740927, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 169.5383142089175, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 304.19772264861166, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 71.13258616120945, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 172.0560685069894, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 175.5289748289049, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 322.04969114131336, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 203.1210852710574, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 128.5546904655625, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 177.91850769388844, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 269.1112497898305, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 304.0846582850191, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 239.63821002723566, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 199.3348968410162, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -102.33084231314255, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 255.63013023167323, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 243.41542151389774, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 280.7809216606197, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -37.645002893376535, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 133.67706857943904, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 72.74998219230542, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 302.94460638638407, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 211.12205536871053, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 82.89531004603086, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 67.56105142071594, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 263.19901065061094, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 201.67086099968708, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 134.17755608351325, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 95.75315503451611, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 16.528056642686643, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 197.10415854949656, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 194.29122671155488, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 115.93276658201741, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 250.75894593679703, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 63.26585435746756, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 142.54739495997498, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 329.22059629351565, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 250.46192983285647, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 362.103666013137, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -43.89295436523932, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 195.97788068396792, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 169.37094979682269, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 255.44370212639515, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -8.545287185550976, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 274.81884347756653, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 371.9231077289185, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 211.67230918557058, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 179.967185686251, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 219.4911299242771, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 88.00808732694615, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 386.2359424707149, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 86.33206145592277, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 218.29313737113847, ep_cost: 21, ep_len: 300
Simulated episode: ep_ret: 137.38821199512674, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 336.3230886608877, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 232.63403657792182, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 329.67435611126973, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 309.65799650390466, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 297.33791034142234, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 315.62083835023077, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 44.27695622858598, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 269.1475923059765, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 116.37387157431135, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 105.50375824878587, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 295.79500608832547, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 199.28154094625907, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 96.4446152009552, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 30.436084979062056, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 345.2141836967093, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 288.57473178434304, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 179.14406071853855, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 258.27348967846046, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -4.036572985388101, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 293.7199390026437, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 139.14980403927385, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 91.83386262450162, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 228.4670808707096, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 72.5861286935535, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: -71.93106735832325, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 106.20152395674988, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 243.28106123774472, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 374.7049659957885, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 131.2010814929741, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 375.626249123189, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 166.4524547562208, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 190.84112718589185, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 299.83216245203755, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 63.31737695820328, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 159.2519354767172, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 100.58847583823318, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 184.30007467607172, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 240.29056172994356, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 15.488843323503943, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 20.72144784104896, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 212.32606926242732, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 256.16756995508433, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 242.51728567163403, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 67.14547140274826, ep_cost: 0, ep_len: 300
Simulated episode: ep_ret: 365.1026328972816, ep_cost: 0, ep_len: 300
